"drugid"
"DB00001"
"DB00002"
"DB00003"
"DB00004"
"DB00005"
"DB00006"
"DB00007"
"DB00009"
"DB00013"
"DB00015"
"DB00026"
"DB00031"
"DB00054"
"DB00065"
"DB00072"
"DB00078"
"DB00108"
"DB00163"
"DB00266"
"DB00304"
"DB00337"
"DB00374"
"DB00396"
"DB00531"
"DB00569"
"DB00682"
"DB00686"
"DB00864"
"DB00932"
"DB00945"
"DB00946"
"DB00974"
"DB01097"
"DB01109"
"DB01225"
"DB01254"
"DB01281"
"DB01609"
"DB01656"
"DB03619"
"DB04865"
"DB06168"
"DB06273"
"DB06372"
"DB06605"
"DB06643"
"DB06779"
"DB08879"
"DB08895"
"DB08904"
"DB08935"
"DB09030"
"DB09033"
"DB09053"
"DB09075"
"DB09079"
"DB00053"
"DB00056"
"DB00059"
"DB00060"
"DB00061"
"DB00067"
"DB00068"
"DB00073"
"DB00074"
"DB00080"
"DB00085"
"DB00087"
"DB00088"
"DB00090"
"DB00092"
"DB00095"
"DB00097"
"DB00099"
"DB00100"
"DB00102"
"DB00103"
"DB00106"
"DB00109"
"DB00110"
"DB00111"
"DB00112"
"DB00114"
"DB00115"
"DB00126"
"DB00159"
"DB00175"
"DB00227"
"DB00242"
"DB00244"
"DB00252"
"DB00262"
"DB00282"
"DB00287"
"DB00291"
"DB00297"
"DB00300"
"DB00305"
"DB00307"
"DB00309"
"DB00318"
"DB00322"
"DB00338"
"DB00339"
"DB00352"
"DB00361"
"DB00368"
"DB00375"
"DB00388"
"DB00390"
"DB00400"
"DB00428"
"DB00429"
"DB00441"
"DB00444"
"DB00445"
"DB00446"
"DB00488"
"DB00512"
"DB00515"
"DB00520"
"DB00526"
"DB00528"
"DB00541"
"DB00544"
"DB00552"
"DB00559"
"DB00563"
"DB00570"
"DB00607"
"DB00615"
"DB00619"
"DB00625"
"DB00630"
"DB00631"
"DB00641"
"DB00648"
"DB00654"
"DB00658"
"DB00665"
"DB00666"
"DB00673"
"DB00681"
"DB00692"
"DB00694"
"DB00724"
"DB00745"
"DB00750"
"DB00755"
"DB00762"
"DB00773"
"DB00806"
"DB00843"
"DB00853"
"DB00872"
"DB00884"
"DB00888"
"DB00905"
"DB00917"
"DB00919"
"DB00925"
"DB00929"
"DB00930"
"DB00958"
"DB00970"
"DB00973"
"DB00987"
"DB00988"
"DB00989"
"DB00993"
"DB01005"
"DB01008"
"DB01014"
"DB01030"
"DB01032"
"DB01033"
"DB01039"
"DB01042"
"DB01045"
"DB01073"
"DB01076"
"DB01083"
"DB01095"
"DB01098"
"DB01101"
"DB01128"
"DB01133"
"DB01138"
"DB01177"
"DB01181"
"DB01196"
"DB01201"
"DB01204"
"DB01206"
"DB01220"
"DB01229"
"DB01241"
"DB01244"
"DB01248"
"DB01250"
"DB01257"
"DB01280"
"DB01364"
"DB01369"
"DB01393"
"DB01394"
"DB01432"
"DB01597"
"DB01598"
"DB01764"
"DB02659"
"DB02703"
"DB04572"
"DB04897"
"DB04908"
"DB05109"
"DB05259"
"DB05521"
"DB05679"
"DB05773"
"DB05812"
"DB06207"
"DB06268"
"DB06290"
"DB06403"
"DB06413"
"DB06415"
"DB06480"
"DB06681"
"DB06717"
"DB06761"
"DB06772"
"DB06813"
"DB06826"
"DB08819"
"DB08820"
"DB08827"
"DB08860"
"DB08870"
"DB08873"
"DB08877"
"DB08880"
"DB08887"
"DB08899"
"DB08916"
"DB08933"
"DB09027"
"DB09029"
"DB09036"
"DB09048"
"DB09049"
"DB09052"
"DB09054"
"DB09073"
"DB09085"
"DB09113"
"DB09272"
"DB09279"
"DB00259"
"DB00260"
"DB00265"
"DB00274"
"DB00286"
"DB00302"
"DB00389"
"DB00438"
"DB00493"
"DB00535"
"DB00550"
"DB00567"
"DB00583"
"DB00609"
"DB00671"
"DB00730"
"DB00744"
"DB00763"
"DB00766"
"DB00833"
"DB01022"
"DB01065"
"DB01112"
"DB01127"
"DB01140"
"DB01150"
"DB01217"
"DB01330"
"DB01331"
"DB01344"
"DB01415"
"DB01416"
"DB01586"
"DB01606"
"DB04854"
"DB04911"
"DB05578"
"DB06590"
"DB06698"
"DB06824"
"DB09050"
"DB09060"
"DB09122"
"DB09293"
"DB09320"
"DB09323"
"DB00626"
"DB00629"
"DB00632"
"DB00634"
"DB00636"
"DB00644"
"DB00645"
"DB00646"
"DB00647"
"DB00655"
"DB00891"
"DB05245"
"DB08869"
"DB00947"
"DB00954"
"DB00971"
"DB00978"
"DB00995"
"DB01252"
"DB01260"
"DB01266"
"DB01270"
"DB01271"
"DB01272"
"DB01279"
"DB01283"
"DB01289"
"DB01324"
"DB01348"
"DB01349"
"DB01352"
"DB02087"
"DB08604"
"DB00145"
"DB00146"
"DB00151"
"DB00152"
"DB00153"
"DB00158"
"DB00162"
"DB00165"
"DB00169"
"DB00258"
"DB00459"
"DB00523"
"DB00795"
"DB00982"
"DB09162"
"DB00226"
"DB00228"
"DB00234"
"DB00235"
"DB00239"
"DB00249"
"DB00251"
"DB00253"
"DB00254"
"DB00435"
"DB00451"
"DB00518"
"DB00643"
"DB00650"
"DB00698"
"DB00759"
"DB00776"
"DB00801"
"DB00836"
"DB00990"
"DB01086"
"DB01110"
"DB01117"
"DB01131"
"DB01159"
"DB01164"
"DB01212"
"DB01327"
"DB01435"
"DB01438"
"DB01611"
"DB05528"
"DB05676"
"DB06401"
"DB08889"
"DB09096"
"DB09101"
"DB09112"
"DB09146"
"DB09256"
"DB09274"
"DB09570"
"DB00292"
"DB00299"
"DB00303"
"DB00306"
"DB00577"
"DB00718"
"DB00760"
"DB00787"
"DB00803"
"DB01004"
"DB01610"
"DB03793"
"DB06211"
"DB06819"
"DB09560"
"DB00383"
"DB00385"
"DB00406"
"DB00410"
"DB00471"
"DB00536"
"DB00639"
"DB00859"
"DB01003"
"DB01007"
"DB01019"
"DB01085"
"DB01093"
"DB01205"
