"drugid"	"smiles"
"DB00654"	"CC(C)OC(=O)CCCC=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1"
"DB00658"	"NCC=C.ClCC1CO1"
"DB00724"	"CC(C)CN1C=NC2=C1C1=CC=CC=C1N=C2N"
"DB00917"	"CCCCC[C@H](O)C=C[C@H]1[C@H](O)CC(=O)[C@@H]1CC=C/CCCC(O)=O"
"DB00919"	"[H][C@@]12O[C@H](C)CC(=O)[C@]1(O)O[C@]1([H])[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@@]1([H])O2"
"DB00925"	"CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1"
"DB00928"	"NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"
"DB00929"	"CCCCC(C)(O)CC=C[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC"
"DB00958"	"N.N.O=C1O[Pt]OC(=O)C11CCC1"
"DB00970"	"[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C"
"DB00973"	"O[C@@H](CC[C@@H]1[C@H](N(C1=O)C1=CC=C(F)C=C1)C1=CC=C(O)C=C1)C1=CC=C(F)C=C1"
"DB00987"	"NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O"
"DB00988"	"NCCC1=CC(O)=C(O)C=C1"
"DB00989"	"CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C"
"DB00993"	"CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O"
"DB01095"	"CC(C)N1C(C=C[C@@H](O)C[C@@H](O)CC(O)=O)=C(C2=CC=CC=C12)C1=CC=C(F)C=C1"
"DB01098"	"CC(C)C1=NC(=NC(C2=CC=C(F)C=C2)=C1C=C[C@@H](O)C[C@@H](O)CC(=O)O)N(C)S(C)(=O)=O"
"DB01101"	"CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O"
"DB01128"	"CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F"
"DB01133"	"OP(O)(=O)C(SC1=CC=C(Cl)C=C1)P(O)(O)=O"
"DB01138"	"O=C1C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1"
"DB01201"	"CO[C@H]1C=CO[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(C=NN1CCN(CC1)C1CCCC1)=C2O"
"DB01204"	"OCCNCCNC1=C2C(=O)C3=C(O)C=CC(O)=C3C(=O)C2=C(NCCNCCO)C=C1"
"DB01206"	"ClCCN(N=O)C(=O)NC1CCCCC1"
"DB01220"	"CO[C@H]1C=CO[C@@]2(C)OC3=C(C)C(O)=C4C(O)=C(NC(=O)C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C1=C(N=C5C=C(C)C=CN15)C4=C3C2=O"
"DB01229"	"[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C"
"DB01241"	"CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1"
"DB01244"	"CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1"
"DB01280"	"COC1=NC(N)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O"
"DB01296"	"N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O"
"DB00259"	"NC1=CC=C(C=C1)S(N)(=O)=O"
"DB00260"	"N[C@@H]1CONC1=O"
"DB00265"	"CCN(C(=O)C=CC)C1=CC=CC=C1C"
"DB00274"	"[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O"
"DB00286"	"[Na+].[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OS([O-])(=O)=O)C=C3CC[C@@]21[H]"
"DB00302"	"NC[C@H]1CC[C@@H](CC1)C(O)=O"
"DB00389"	"CCOC(=O)N1C=CN(C)C1=S"
"DB00730"	"N1C2=CC=CC=C2N=C1C1=CSC=N1"
"DB01112"	"[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)C1=CC=CO1)C(O)=O"
"DB01127"	"ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1"
"DB01140"	"[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O"
"DB01217"	"CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N"
"DB01330"	"[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)C1SC(S1)=C(C(N)=O)C(O)=O)OC)C(O)=O"
"DB01331"	"[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@]2(NC(=O)CC1=CC=CS1)OC)C(O)=O"
"DB00626"	"CC[C@H](C)[C@H](N)C1=N[C@@H](CS1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@H]1CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(O)=O)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC1=O)[C@@H](C)CC"
"DB00629"	"NC(N)=NN=CC1=C(Cl)C=CC=C1Cl"
"DB00632"	"CCCCCCCCCCCCCCCCCCCCCCO"
"DB00634"	"CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1"
"DB00636"	"CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1"
"DB00644"	"CC(C)CC(NC(=O)CNC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CC1=CN=CN1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O"
"DB00645"	"CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1"
"DB00646"	"C[C@H]1OC(OC2CC(O)C(C(O)CC(=O)CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C(O)C(C)C=CC=CCCC=CC=CC=CC=C2)C(O)=O)[C@@H](O)[C@@H](N)[C@@H]1O"
"DB00647"	"CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1"
"DB00655"	"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3"
"DB00947"	"[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])C2[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC2=CC(O)=CC=C12"
"DB00954"	"CC[C@H]1OC(=O)[C@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@@H]([C@@H]2C)[C@]1(C)O"
"DB00971"	"S=[Se]"
"DB00978"	"CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N3CCNC(C)C3)C(F)=C12"
"DB00992"	"COC(=O)CCC(=O)CN"
"DB01252"	"OC(=O)C(CC(=O)N1CC2CCCCC2C1)CC1=CC=CC=C1"
"DB01260"	"[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO"
"DB01283"	"CC1=CC=C(NC2=C(Cl)C=CC=C2F)C(CC(O)=O)=C1"
"DB01289"	"CC1=CC(=NO1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1"
"DB01324"	"CN1C(CSCC(F)(F)F)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O"
"DB01348"	"CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(O)=O)SCCS2"
"DB01349"	"CC1=NC(C)=C2CCC(=O)N(CC3=CC=C(C=C3)C3=CC=CC=C3C3=NNN=N3)C2=N1"
"DB01352"	"CC(C)C1(CC=C)C(=O)NC(=O)NC1=O"
"DB02087"	"NS(=O)(=O)C1=CC(F)=CC(F)=C1"
"DB08604"	"OC1=CC(Cl)=CC=C1OC1=C(Cl)C=C(Cl)C=C1"
"DB00145"	"NCC(O)=O"
"DB00146"	"C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])C(CCC[C@]12C)=CC=C1C[C@@H](O)CCC1=C"
"DB00151"	"N[C@@H](CS)C(O)=O"
"DB00152"	"CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N"
"DB00153"	"CC(C)[C@@H](C)C=C[C@@H](C)[C@@]1([H])CC[C@@]2([H])C(CCC[C@]12C)=CC=C1C[C@@H](O)CCC1=C"
"DB00158"	"NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1"
"DB00160"	"C[C@H](N)C(O)=O"
"DB00162"	"CC(=C/CO)C=CC=C(/C)C=CC1=C(C)CCCC1(C)C"
"DB00165"	"CC1=C(O)C(CO)=C(CO)C=N1"
"DB00167"	"CC[C@H](C)[C@H](N)C(O)=O"
"DB00169"	"CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])C(CCC[C@]12C)=CC=C1C[C@@H](O)CCC1=C"
"DB00258"	"[Ca++].CC([O-])=O.CC([O-])=O"
"DB00459"	"COC1=C(C)C(C)=C(C=CC(C)=CC=CC(C)=CC(O)=O)C(C)=C1"
"DB00982"	"CC(C=CC1=C(C)CCCC1(C)C)=C/C=C/C(/C)=CC(O)=O"
"DB00226"	"NC(N)=NCC1COC2(CCCCC2)O1"
"DB00228"	"FC(F)OC(F)(F)C(F)Cl"
"DB00234"	"[H][C@]1(CNCCO1)[C@@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1"
"DB00235"	"CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1"
"DB00239"	"ClC1=CC(Cl)=C(CON=C(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1"
"DB00249"	"OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O"
"DB00251"	"CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1"
"DB00253"	"[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C"
"DB00254"	"[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O"
"DB00451"	"N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O"
"DB00643"	"COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1"
"DB00650"	"NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2C=O)N1"
"DB00990"	"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C"
"DB01086"	"CCOC(=O)C1=CC=C(N)C=C1"
"DB01110"	"ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1"
"DB01117"	"OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O"
"DB01131"	"CC(C)N=C(/N)N=C(N)NC1=CC=C(Cl)C=C1"
"DB01212"	"[H][C@]12SCC(CSC3=NC(=O)C(=O)NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)C1=CSC(N)=N1)C(O)=O"
"DB01327"	"[H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@H]2NC(=O)CN1C=NN=N1)C(O)=O"
"DB00292"	"CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1"
"DB00299"	"NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2"
"DB00303"	"[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O"
"DB00306"	"CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O"
"DB00718"	"CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C"
"DB00383"	"CN1CCCN=C1COC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1"
"DB00385"	"CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](OC2CC(NC(=O)C(F)(F)F)C(O)C(C)O2)C2=C(C1)C(O)=C1C(=O)C3=C(C(=O)C1=C2O)C(OC)=CC=C3"
"DB00406"	"CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C"
"DB00410"	"C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](CC(C)=CC(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O"
"DB00471"	"OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(C=CC2=NC3=C(C=CC(Cl)=C3)C=C2)=C1"
"DB00639"	"ClC1=CC=C(CCC(CN2C=CN=C2)SC2=C(Cl)C=CC=C2Cl)C=C1"
"DB01093"	"CS(C)=O"
"DB01205"	"CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1"
"DB00456"	"[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CC1=CC=CS1)C(O)=O"
"DB00462"	"[Br-].[H][C@]12C[C@@H](C[C@@]([H])(C3OC13)[N+]2(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1"
"DB00464"	"CCCCCCCCCCCCCCOS(O)(=O)=O"
"DB00467"	"CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1"
"DB00469"	"CN1C(=C(/O)NC2=CC=CC=N2)C(=O)C2=C(C=CS2)S1(=O)=O"
