"drugid"	"smiles"
"DB00413"	"CCCN[C@H]1CCC2=C(C1)SC(N)=N2"
"DB00470"	"[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1"
"DB00475"	"CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=N(=O)C1"
"DB00486"	"[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC"
"DB00628"	"OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2"
"DB00640"	"NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1"
"DB00651"	"CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O"
"DB00704"	"[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O"
"DB00705"	"CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2"
"DB00723"	"COC1=CC(C(O)C(C)N)=C(OC)C=C1"
"DB00736"	"COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1"
"DB00909"	"NS(=O)(=O)CC1=NOC2=CC=CC=C12"
"DB00918"	"CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2"
"DB00933"	"CN1CCCCC1CCN1C2=CC=CC=C2SC2=C1C=C(C=C2)S(C)=O"
"DB00935"	"CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C"
"DB00937"	"CCN(CC)C(C)C(=O)C1=CC=CC=C1"
"DB00951"	"NNC(=O)C1=CC=NC=C1"
"DB00952"	"CNS(=O)(=O)CCC1=CC2=C(NC=C2C2CCN(C)CC2)C=C1"
"DB00953"	"CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2"
"DB00962"	"CCN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C#N"
"DB01129"	"COCCCOC1=C(C)C(CS(=O)C2=NC3=CC=CC=C3N2)=NC=C1"
"DB01198"	"CN1CCN(CC1)C(=O)OC1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1"
"DB01202"	"CC[C@@H](N1CCCC1=O)C(N)=O"
"DB01215"	"ClC1=CC2=C(C=C1)N1C=NN=C1CN=C2C1=CC=CC=C1"
"DB01219"	"[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)NC1=O"
"DB01221"	"CNC1(CCCCC1=O)C1=CC=CC=C1Cl"
"DB01239"	"[H]C(CCN(C)C)=C1C2=CC(Cl)=CC=C2SC2=C1C=CC=C2"
"DB01253"	"[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](C)CO"
"DB01291"	"CC(C)(C)NCC(O)C1=NC(CO)=C(O)C=C1"
"DB01103"	"CCN(CC)CCCC(C)NC1=C2C=C(OC)C=CC2=NC2=C1C=CC(Cl)=C2"
"DB00911"	"CCS(=O)(=O)CCN1C(C)=NC=C1[N+]([O-])=O"
"DB00091"	"CCC1NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C"
"DB00104"	"C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](N)CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)O)C(=O)N1"
"DB00166"	"OC(=O)CCCCC1CCSS1"
"DB00222"	"CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC2CCC(C)CC2)C1=O"
"DB00223"	"[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C"
"DB00224"	"CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12"
"DB00232"	"CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O"
"DB00233"	"NC1=CC(O)=C(C=C1)C(O)=O"
"DB00237"	"CCC(C)C1(CC)C(=O)NC(=O)NC1=O"
"DB00240"	"[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C"
"DB00241"	"CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O"
"DB00243"	"COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1"
"DB00245"	"[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C"
"DB00246"	"ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1"
"DB00261"	"ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl"
"DB00263"	"CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C"
"DB00264"	"COCCC1=CC=C(OCC(O)CNC(C)C)C=C1"
"DB00268"	"CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1"
"DB00270"	"COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C"
"DB00275"	"CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O"
"DB00277"	"CN1C2=C(NC=N2)C(=O)N(C)C1=O"
"DB00278"	"C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C1=CC=CC2=C1NC[C@H](C)C2"
"DB00280"	"CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C"
"DB00281"	"CCN(CC)CC(=O)NC1=C(C)C=CC=C1C"
"DB00283"	"CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1"
"DB00284"	"C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O"
"DB00285"	"COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1"
"DB00288"	"[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC1(CCCC1)O2)C(=O)COC(C)=O"
"DB00289"	"CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1"
"DB00290"	"C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CN=CN1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C"
"DB00295"	"[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O"
"DB00296"	"CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C"
"DB00308"	"CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1"
"DB00310"	"NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12"
"DB00312"	"CCCC(C)C1(CC)C(=O)NC(=O)NC1=O"
"DB00381"	"CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC"
"DB00384"	"NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1"
"DB00387"	"OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1"
"DB00393"	"COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C"
"DB00394"	"[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C"
"DB00398"	"CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"
"DB00399"	"OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O"
"DB00401"	"COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C"
"DB00408"	"CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2"
"DB00412"	"CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1"
"DB00454"	"CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1"
"DB00455"	"CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2"
"DB00457"	"COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1"
"DB00458"	"CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12"
"DB00461"	"COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2"
"DB00465"	"OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1"
"DB00468"	"[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12"
"DB00472"	"CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1"
"DB00476"	"CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1"
"DB00477"	"CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2"
"DB00479"	"NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O"
"DB00480"	"NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O"
"DB00482"	"CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F"
"DB00484"	"BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12"
"DB00620"	"[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C"
"DB00621"	"[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)OC[C@]12C"
"DB00622"	"COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1"
"DB00623"	"OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1"
"DB00624"	"[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"
"DB00627"	"OC(=O)C1=CN=CC=C1"
"DB00633"	"C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1"
"DB00635"	"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C"
"DB00642"	"NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@H](CCC(O)=O)C(O)=O)N1"
"DB00652"	"C[C@H]1[C@H]2CC3=CC=C(O)C=C3[C@]1(C)CCN2CC=C(C)C"
"DB00656"	"ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1"
"DB00657"	"CNC1(C)C2CCC(C2)C1(C)C"
"DB00703"	"CN1N=C(SC1=N/C(C)=O)S(N)(=O)=O"
"DB00708"	"CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1"
"DB00710"	"CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O"
"DB00712"	"CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1"
"DB00714"	"[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23"
"DB00715"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"
"DB00717"	"[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]"
"DB00722"	"NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O"
"DB00726"	"CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12"
"DB00727"	"[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O"
"DB00731"	"CC(C)C1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O"
"DB00734"	"CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1"
"DB00737"	"CC1=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=CC=C1"
"DB00738"	"NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1"
"DB00741"	"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"
"DB00908"	"[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1"
"DB00912"	"CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N2CCCCC2)=C1)C(O)=O"
"DB00915"	"NC12CC3CC(CC(C3)C1)C2"
"DB00916"	"CC1=NC=C(N1CCO)[N+]([O-])=O"
"DB00921"	"CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4"
"DB00924"	"CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12"
"DB00927"	"NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1"
"DB00934"	"CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21"
"DB00938"	"OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1"
"DB00949"	"NC(=O)OCC(COC(N)=O)C1=CC=CC=C1"
"DB00950"	"CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1"
"DB00956"	"[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O"
"DB00957"	"[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(C=C3CC[C@@]21[H])=N/O"
"DB00959"	"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C"
"DB00960"	"CC(C)NCC(O)COC1=CC=CC2=C1C=CN2"
"DB00964"	"NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1"
"DB00966"	"CCCC1=NC2=C(C=C(C=C2C)C2=NC3=CC=CC=C3N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O"
"DB00967"	"ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1"
"DB00968"	"C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O"
"DB00969"	"CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)NC=N1)CC2"
"DB00972"	"CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O"
"DB00975"	"OCCN(CCO)C1=NC2=C(N=C(N=C2N2CCCCC2)N(CCO)CCO)C(=N1)N1CCCCC1"
"DB00976"	"CC[C@@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCN3C=NC(=C3)C3=CC=CN=C3)C(=O)O[C@@]12C)OC"
"DB00977"	"[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3"
"DB00979"	"CN(C)CCOC(=O)C(C1=CC=CC=C1)C1(O)CCCC1"
"DB00980"	"CCC(=O)NCC[C@@H]1CCC2=C1C1=C(OCC1)C=C2"
"DB00983"	"COC1=CC=C(CC(C)NCC(O)C2=CC(NC=O)=C(O)C=C2)C=C1"
"DB00985"	"CN1C2=C([N-]C(Cl)=N2)C(=O)N(C)C1=O.C[NH+](C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1"
"DB00986"	"C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1"
"DB00991"	"OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1"
"DB00994"	"NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O"
"DB01087"	"COC1=CC(NC(C)CCCN)=C2N=CC=CC2=C1"
"DB01088"	"[H][C@]12C[C@@H](O)[C@H](C=C[C@@H](O)C(C)CC#CC)[C@@]1([H])CC(C2)=CCCCC(O)=O"
"DB01100"	"FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1"
"DB01104"	"CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12"
"DB01106"	"C[C@@H]1CN(CC[C@]1(C(O)=O)C1=CC=CC=C1)C1CCC(CC1)(C#N)C1=CC=C(F)C=C1"
"DB01113"	"COC1=C(OC)C=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1"
"DB01114"	"CN(C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1"
"DB01115"	"COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC"
"DB01118"	"CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1"
"DB01119"	"CC1=NS(=O)(=O)C2=C(N1)C=CC(Cl)=C2"
"DB01120"	"[H][C@@]12CCC[C@]1([H])CN(C2)NC(=O)NS(=O)(=O)C1=CC=C(C)C=C1"
"DB01124"	"CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1"
"DB01130"	"CCOC(=O)OC1(CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C)C(=O)COC(=O)CC"
"DB01132"	"CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1"
"DB01136"	"COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2"
"DB01137"	"C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1"
"DB01197"	"C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O"
"DB01200"	"[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C"
"DB01203"	"CC(C)(C)NCC(O)COC1=CC=CC2=C1C[C@H](O)[C@H](O)C2"
"DB01208"	"C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C(N)=C2C(=O)C(=CN(C3CC3)C2=C1F)C(O)=O"
"DB01210"	"CC(C)(C)NC[C@H](O)COC1=CC=CC2=C1CCCC2=O"
"DB01211"	"[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C)OC"
"DB01214"	"CC(C)NCC(O)COC1=C(C)C(C)=C(OC(C)=O)C(C)=C1"
"DB01222"	"[H][C@@]12C[C@H]3OC(CCC)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C"
"DB01223"	"NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O"
"DB01224"	"OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12"
"DB01232"	"CC(C)(C)NC(=O)[C@@H]1CC2CCCCC2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=NC2=CC=CC=C2C=C1"
"DB01233"	"CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC"
"DB01234"	"[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C"
"DB01235"	"N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O"
"DB01238"	"ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl"
"DB01240"	"[H][C@]12C[C@@H](O)[C@H](C=C[C@@H](O)CCCCC)[C@@]1([H])CC(O2)=CCCCC(O)=O"
"DB01242"	"CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2"
"DB01259"	"CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1"
"DB01261"	"N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=CC(F)=C(F)C=C1F"
"DB01263"	"CC[C@@H]([C@H](C)O)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OCC2CO[C@](CN3C=NC=N3)(C2)C2=C(F)C=C(F)C=C2)C=C1"
"DB01264"	"[H][C@@]12CCO[C@]1([H])OC[C@@H]2OC(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CN(CC(C)C)S(=O)(=O)C1=CC=C(N)C=C1"
"DB01265"	"CC1=CN([C@@H]2C[C@@H](O)[C@H](CO)O2)C(=O)NC1=O"
"DB01267"	"CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCC(O)C2=N1"
"DB01268"	"CCN(CC)CCNC(=O)C1=C(C)NC(C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C"
"DB01274"	"COC1=CC=C(C[C@@H](C)NC[C@H](O)C2=CC(NC=O)=C(O)C=C2)C=C1"
"DB01275"	"NNC1=NN=CC2=CC=CC=C12"
"DB01294"	"O[Bi]1OC(=O)C2=CC=CC=C2O1"
"DB01319"	"CC(C)CN(C[C@@H](OP(O)(O)=O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1"
"DB01320"	"OP(O)(=O)OCN1C(=O)NC(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1"
"DB01340"	"CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CCCN2CCC[C@H](N2C1=O)C(O)=O"
"DB01351"	"CCC1(CCC(C)C)C(=O)NC(=O)NC1=O"
"DB01353"	"CCCCC1(CC)C(=O)NC(=O)NC1=O"
"DB00460"	"COC(=O)CCC1=C2NC(C=C3/N=C(/C=C4NC(=C/C5=N/C(=C2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C"
"DB00485"	"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1Cl)C(O)=O"
"DB00653"	"[Mg++].[O-]S([O-])(=O)=O"
"DB00707"	"CC(O)C1=C(C)/C2=C/C3=N/C(=CC4=C(CCC(O)=O)C(C)=C(N4)/C=C4N=C(C=C1/N2)C(C)=C4C(C)OC(C)C1=C2NC(C=C4/N=C(/C=C5NC(=C/C6=N/C(=C2)/C(C)=C6C(C)O)C(C)=C5CCC(O)=O)C(CCC(O)=O)=C4C)=C1C)/C(CCC(O)=O)=C3C"
"DB00713"	"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=CC=CC=C1)C(O)=O"
"DB00948"	"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(C1=O)S(C)(=O)=O)C1=CC=CC=C1)C(O)=O"
"DB01255"	"C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN"
"DB00649"	"CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O"
"DB01139"	"[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CSC1=CC=NC=C1)C(O)=O"
"DB01326"	"[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](O)C1=CC=CC=C1)C(O)=O"
"DB01328"	"[H][C@]12SCC(CSC3=NN=NN3CS(O)(=O)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](O)C1=CC=CC=C1)C(O)=O"
"DB01329"	"[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=C(O)C=C1)C(O)=O"
"DB01332"	"[H][C@]12SCC=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)C1=CSC(N)=N1)C(O)=O"
"DB01333"	"[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CCC=CC1)C(O)=O"
"DB00963"	"NC1=C(CC(O)=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1"
"DB00238"	"CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1"
"DB00250"	"NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1"
