"umlsid"	"parent_id"
"C0162316"	"meddra:10022971"
"C0162316"	"meddra:10002042"
"C0162316"	"meddra:10002086"
"C0162316"	"meddra:10022958"
"C0162316"	"meddra:10027433"
"C0162316"	"meddra:10005329"
"C0162316"	"meddra:10053783"
"C0162316"	"meddra:10022973"
"C0162316"	"meddra:10002295"
"C0162316"	"meddra:10022977"
"C0162316"	"meddra:10022978"
"C0162316"	"meddra:10022974"
"C0162316"	"meddra:10002062"
"C0162316"	"meddra:10022969"
"C0162316"	"meddra:10053784"
"C0162316"	"meddra:10055738"
"C0235238"	"meddra:10000391"
"C0235238"	"meddra:10011719"
"C0235238"	"meddra:10030952"
"C0235238"	"meddra:10037514"
"C0235238"	"meddra:10030061"
"C0235238"	"meddra:10029301"
"C0235238"	"meddra:10029205"
"C0235238"	"meddra:10015919"
"C0235238"	"meddra:10033986"
"C0271429"	"meddra:10033079"
"C0271429"	"meddra:10027586"
"C0271429"	"meddra:10014013"
"C0271429"	"meddra:10021879"
"C0271429"	"meddra:10027584"
"C0271429"	"meddra:10013993"
"C0271429"	"meddra:10021881"
"C0271429"	"meddra:10033080"
"C0282488"	"meddra:10011796"
"C0282488"	"meddra:10005049"
"C0282488"	"meddra:10004994"
"C0282488"	"meddra:10038359"
"C0282488"	"meddra:10011801"
"C1261473"	"meddra:10039491"
"C1261473"	"meddra:10041298"
"C1261473"	"meddra:10025681"
"C1261473"	"meddra:10028389"
"C1261473"	"meddra:10041299"
"C1261473"	"meddra:10029104"
"C1261473"	"meddra:10028395"
"C1261473"	"meddra:10061271"
"C1261473"	"meddra:10041293"
"C1261473"	"meddra:10041296"
"C1261473"	"meddra:10039494"
"C1261473"	"meddra:10026699"
"C0162316"	"ndfrt:N0000003859"
"C0162316"	"ndfrt:N0000000391"
"C0162316"	"ndfrt:N0000000384"
"C0162316"	"ndfrt:N0000001459"
"C0162316"	"ndfrt:N0000001466"
"C0162316"	"ndfrt:N0000000004"
"C0282488"	"ndfrt:N0000003865"
"C0282488"	"ndfrt:N0000000894"
"C0282488"	"ndfrt:N0000000560"
"C0282488"	"ndfrt:N0000003086"
"C0282488"	"ndfrt:N0000181236"
"C0282488"	"ndfrt:N0000001224"
"C0282488"	"ndfrt:N0000000004"
"C1261473"	"ndfrt:N0000002671"
"C1261473"	"ndfrt:N0000003678"
"C1261473"	"ndfrt:N0000002129"
"C1261473"	"ndfrt:N0000002128"
"C1261473"	"ndfrt:N0000000004"
