dbid,atc_label
DB00887,G01AE10
DB00887,C03CB02
DB00887,C03EB02
DB00887,C03CA02
DB01325,G01AE10
DB01325,C03BA02
DB01325,C03BB02
DB00808,G01AE10
DB00808,C09BX01
DB00808,C10BX13
DB00808,C03BA11
DB01021,G01AE10
DB01021,C03AA06
DB01021,C03EA02
DB01021,C03AB06
DB00421,C03DA01
DB00700,C03DA04
DB00880,G01AE10
DB00880,C03AB04
DB00880,C03AA04
DB00880,C03AH01
DB00436,G01AE10
DB00436,C03AB01
DB00436,C03EA13
DB00436,C03AA01
DB00903,C03CC01
DB00606,G01AE10
DB00606,C03AB09
DB00606,C03AA09
DB00774,G01AE10
DB00774,C03AA02
DB00774,C03AH02
DB00774,C03AB02
DB00310,G01AE10
DB00310,C03EA06
DB00310,C03BB04
DB00310,C03BA04
DB00594,C03DB01
DB00201,R03DA20
DB00201,V04CG30
DB00201,N06BC01
DB00277,R03DA20
DB00277,R03DA54
DB00277,R03DA74
DB00277,R03DA04
DB00277,R03DB04
DB01412,C03BD01
DB01412,R03DA07
DB01412,R03DA57
DB01638,B05CX02
DB01638,V04CC01
DB01638,A06AD18
DB01638,A06AG07
DB00624,G03BA03
DB00624,G03EA02
DB00655,G03CC04
DB00655,G03CA07
DB00783,G03FB10
DB00783,G03FB04
DB00783,G03FA08
DB00783,G03FB09
DB00783,G03FA11
DB00783,G03FA14
DB00783,G03FB08
DB00783,G03FA04
DB00783,G03EA02
DB00783,G03FA01
DB00783,G03FB05
DB00783,G03FA16
DB00783,G03FA06
DB00783,G03FA09
DB00783,G03CA53
DB00783,G03FA12
DB00783,G03FB12
DB00783,G03FB03
DB00783,G03FB02
DB00783,G03FA15
DB00783,G03FA10
DB00783,G03EA01
DB00783,G03FB11
DB00783,G03EA03
DB00783,G03AA14
DB00783,G03AB08
DB00783,G03FB01
DB00783,G03FA03
DB00783,G03FB06
DB00783,G03AA17
DB00783,G03FB07
DB00783,G03FA17
DB00783,G03FA07
DB00783,G03FA02
DB00783,G03HB01
DB00783,G03FA13
